Customer ID,Year,Frequency,Monetary_Value,Province,Best_Selling_Product,Market_Group,CLV,Predicted_Purchases,Predicted_Monetary_Value,Customer_State,Cluster_Label
12346,2010,2,169.36,United Kingdom,DOORMAT 3 SMILEY CATS,Home & Kitchen,207.1861,1.7203,106.8936,Active,1
12346,2011,1,77183.6,United Kingdom,MEDIUM CERAMIC TOP STORAGE JAR,Home & Kitchen,166293.2278,0.0,0.0,Inactive,1
12347,2010,2,1323.32,Iceland,MINI PAINT SET VINTAGE ,Decorations & Craft,1618.8799,6.6894,804.6421,Active,0
12347,2011,6,3598.21,Iceland,ICE CREAM SUNDAE LIP GLOSS,Seasonal & Gifts,1292.0663,6.0872,621.9748,Active,2
12348,2010,2,873.9599999999999,Finland,60 TEATIME FAIRY CAKE CASES,Seasonal & Gifts,1069.1565,5.2982,532.934,Active,0
12348,2011,3,784.44,Finland,DOUGHNUT LIP GLOSS ,Seasonal & Gifts,563.3626,3.1065,288.2847,Active,2
12349,2010,2,2221.14,Italy,WRAP PINK FAIRY CAKES ,Seasonal & Gifts,2717.2255,2.559,1347.5142,Active,2
12349,2011,1,1457.55,Italy,STRAWBERRY CERAMIC TRINKET POT,Stationery & Office,3140.3134,0.0,0.0,Active,0
12352,2010,2,343.8,Norway,SET/10 PINK POLKADOT PARTY CANDLES,Seasonal & Gifts,420.5868,7.1926,212.3697,Active,0
12352,2011,7,1385.74,Norway,PINK HEART SHAPE EGG FRYING PAN,Seasonal & Gifts,426.514,7.3913,204.4803,Active,2
12353,2010,1,317.76,Bahrain,CERAMIC CAKE DESIGN SPOTTED PLATE,Home & Kitchen,777.4616,0.0,0.0,Active,0
12353,2011,1,89.0,Bahrain,MINI CAKE STAND WITH HANGING CAKES,Seasonal & Gifts,191.7518,0.0,0.0,Inactive,1
12355,2010,1,488.21,Bahrain,TOOTHPASTE TUBE PEN,Stationery & Office,1194.5007,0.0,0.0,Inactive,1
12355,2011,1,459.4,Bahrain,ICE CREAM SUNDAE LIP GLOSS,Seasonal & Gifts,989.7842,0.0,0.0,Inactive,1
12356,2010,3,3124.3,Portugal,WRAP PINK FAIRY CAKES ,Seasonal & Gifts,2548.0691,8.6138,1142.1312,Active,0
12356,2011,3,2487.43,Portugal,60 TEATIME FAIRY CAKE CASES,Seasonal & Gifts,1786.4017,3.1045,909.7287,Active,2
12357,2010,1,11229.99,Switzerland,GROW A FLYTRAP OR SUNFLOWER IN TIN,Home & Kitchen,27476.3543,0.0,0.0,Active,0
12357,2011,1,6207.67,Switzerland,HAND WARMER RED RETROSPOT,Garden & Outdoor,13374.5184,0.0,0.0,Active,0
12358,2009,1,1429.83,Austria,EDWARDIAN PARASOL BLACK,Seasonal & Gifts,603.5527,0.0,0.0,Active,0
12358,2010,2,1089.18,Austria,ASSORTED CHEESE FRIDGE MAGNETS,Seasonal & Gifts,1332.4453,3.0163,663.068,Active,2
12358,2011,2,928.06,Austria,CERAMIC STRAWBERRY CAKE MONEY BANK,Seasonal & Gifts,999.7596,3.7727,565.6459,Active,0
12359,2009,2,838.89,Cyprus,BLUE SCANDINAVIAN PAISLEY WRAP,Seasonal & Gifts,177.054,9.6986,511.7287,Active,0
12359,2010,4,1724.47,Cyprus,REGENCY CAKESTAND 3 TIER,Seasonal & Gifts,1054.8128,4.3773,458.8266,Active,2
12359,2011,4,6310.03,Cyprus,"METAL SIGN,CUPCAKE SINGLE HOOK",Home & Kitchen,3398.7637,3.9622,1675.4065,Active,2
12360,2010,3,1310.83,Austria,MINI HIGHLIGHTER PENS,Home & Kitchen,1069.0668,3.2635,480.3715,Active,2
12360,2011,3,2302.06,Austria,MINI PAINT SET VINTAGE ,Decorations & Craft,1653.2742,4.487,842.0847,Active,2
12361,2010,3,276.35,Belgium,LUNCH BAG RED SPOTTY,Garden & Outdoor,225.3814,2.9477,102.8758,Active,2
12361,2011,1,174.9,Belgium,CIRCUS PARADE LUNCH BOX ,Home & Kitchen,376.8247,0.0,0.0,Inactive,1
12362,2011,10,4737.23,Belgium,SPACEBOY LUNCH BOX ,Home & Kitchen,1020.6433,10.4922,483.4326,Active,2
12363,2011,2,552.0,Unspecified,60 CAKE CASES VINTAGE CHRISTMAS,Seasonal & Gifts,594.6462,2.3294,338.259,Active,0
12364,2011,4,1208.1,Belgium,BUBBLEGUM RING ASSORTED,Toys & Games,650.7174,9.0105,321.8302,Active,0
12369,2010,3,1511.15,Austria,ASSORTED COLOUR BIRD ORNAMENT,Decorations & Craft,1232.4409,3.3629,553.471,Active,2
12370,2010,5,2278.89,Cyprus,HEART DECORATION PAINTED ZINC ,Seasonal & Gifts,1115.1495,5.1105,477.3619,Active,2
12370,2011,2,1677.67,Cyprus,BOYS ALPHABET IRON ON PATCHES,Seasonal & Gifts,1807.2826,2.3162,1018.9019,Active,2
12371,2010,3,1819.42,Switzerland,BIG DOUGHNUT FRIDGE MAGNETS,Seasonal & Gifts,1483.8549,3.3413,665.9628,Active,2
12371,2011,1,1527.96,Switzerland,GRAND CHOCOLATECANDLE,Home & Kitchen,3292.0128,0.0,0.0,Active,0
12372,2011,3,1196.04,Denmark,PLASTERS IN TIN CIRCUS PARADE ,Home & Kitchen,858.9621,3.2932,438.4831,Active,2
12373,2010,2,603.0500000000001,Austria,JUMBO BAG RED WHITE SPOTTY ,Garden & Outdoor,737.7395,0.8754,369.1267,Inactive,1
12373,2011,1,324.6,Austria,RED RETROSPOT CHARLOTTE BAG,Garden & Outdoor,699.3556,0.0,0.0,Inactive,1
12374,2010,2,2046.29,Austria,ROUND SNACK BOXES SET OF 4 FRUITS ,Home & Kitchen,2503.3232,2.5221,1241.7901,Active,2
12374,2011,1,622.93,Austria,72 SWEETHEART FAIRY CAKE CASES,Seasonal & Gifts,1342.1121,0.0,0.0,Active,0
12375,2011,2,377.5,Finland,JUMBO BAG PEARS,Seasonal & Gifts,406.6647,4.9531,232.7466,Active,0
12376,2010,2,383.15,Switzerland,HAND WARMER RED RETROSPOT,Garden & Outdoor,468.7255,5.6578,236.1629,Active,0
12377,2010,3,2719.72,Switzerland,SNOWSTORM PHOTO FRAME FRIDGE MAGNET,Home & Kitchen,2218.1079,4.0092,994.4945,Active,2
12377,2011,1,546.6,Switzerland,FOOD/DRINK SPONGE STICKERS,Stationery & Office,1177.6579,0.0,0.0,Inactive,1
12378,2010,1,1407.7,Switzerland,MINI JIGSAW SPACEBOY,Toys & Games,3444.2118,0.0,0.0,Inactive,1
12378,2011,1,4008.62,Switzerland,GIRLS ALPHABET IRON ON PATCHES ,Seasonal & Gifts,8636.6321,0.0,0.0,Active,0
12379,2010,2,692.98,Belgium,RED TOADSTOOL LED NIGHT LIGHT,Home & Kitchen,847.7552,2.9961,423.5034,Active,0
12379,2011,2,777.24,Belgium,POLKADOT PEN,Stationery & Office,837.2876,3.0626,474.4517,Active,0
12380,2010,4,4782.84,Belgium,RED TOADSTOOL LED NIGHT LIGHT,Home & Kitchen,2925.537,4.0332,1270.2327,Active,2
12380,2011,4,2427.81,Belgium,ROUND SNACK BOXES SET OF4 WOODLAND ,Home & Kitchen,1307.6883,6.3141,645.4274,Active,2
12381,2011,3,1474.81,Norway,MINI PAINT SET VINTAGE ,Decorations & Craft,1059.1667,6.6028,540.21,Active,0
12383,2010,1,555.72,Belgium,POPART WOODEN PENCILS ASST,Stationery & Office,1359.677,0.0,0.0,Active,0
12383,2011,4,1072.84,Belgium,PACK OF 12 TRADITIONAL CRAYONS,Seasonal & Gifts,577.8625,3.4042,285.9448,Inactive,1
12384,2011,2,425.27,Switzerland,BIRDCAGE DECORATION TEALIGHT HOLDER,Seasonal & Gifts,458.1253,4.2083,261.631,Active,0
12386,2010,1,258.9,Australia,ASSORTED BOTTLE TOP  MAGNETS ,Home & Kitchen,633.4492,0.0,0.0,Active,0
