Customer ID,Year,Frequency,Monetary_Value,Province,Best_Selling_Product,Market_Group,CLV
12346,2010,2,169.36,United Kingdom,DOORMAT 3 SMILEY CATS,Home & Kitchen,207.1861
12346,2011,1,77183.6,United Kingdom,MEDIUM CERAMIC TOP STORAGE JAR,Home & Kitchen,166293.2278
12347,2010,2,1323.32,Iceland,MINI PAINT SET VINTAGE ,Decorations & Craft,1618.8799
12347,2011,6,3598.21,Iceland,ICE CREAM SUNDAE LIP GLOSS,Seasonal & Gifts,1292.0663
12348,2010,2,873.9599999999999,Finland,60 TEATIME FAIRY CAKE CASES,Seasonal & Gifts,1069.1565
12348,2011,3,784.44,Finland,DOUGHNUT LIP GLOSS ,Seasonal & Gifts,563.3626
12349,2010,2,2221.14,Italy,WRAP PINK FAIRY CAKES ,Seasonal & Gifts,2717.2255
12349,2011,1,1457.55,Italy,STRAWBERRY CERAMIC TRINKET POT,Stationery & Office,3140.3134
12352,2010,2,343.8,Norway,SET/10 PINK POLKADOT PARTY CANDLES,Seasonal & Gifts,420.5868
12352,2011,7,1385.74,Norway,PINK HEART SHAPE EGG FRYING PAN,Seasonal & Gifts,426.514
12353,2010,1,317.76,Bahrain,CERAMIC CAKE DESIGN SPOTTED PLATE,Home & Kitchen,777.4616
12353,2011,1,89.0,Bahrain,MINI CAKE STAND WITH HANGING CAKES,Seasonal & Gifts,191.7518
12355,2010,1,488.21,Bahrain,TOOTHPASTE TUBE PEN,Stationery & Office,1194.5007
12355,2011,1,459.4,Bahrain,ICE CREAM SUNDAE LIP GLOSS,Seasonal & Gifts,989.7842
12356,2010,3,3124.3,Portugal,WRAP PINK FAIRY CAKES ,Seasonal & Gifts,2548.0691
12356,2011,3,2487.43,Portugal,60 TEATIME FAIRY CAKE CASES,Seasonal & Gifts,1786.4017
12357,2010,1,11229.99,Switzerland,GROW A FLYTRAP OR SUNFLOWER IN TIN,Home & Kitchen,27476.3543
12357,2011,1,6207.67,Switzerland,HAND WARMER RED RETROSPOT,Garden & Outdoor,13374.5184
12358,2009,1,1429.83,Austria,EDWARDIAN PARASOL BLACK,Seasonal & Gifts,603.5527
12358,2010,2,1089.18,Austria,ASSORTED CHEESE FRIDGE MAGNETS,Seasonal & Gifts,1332.4453
12358,2011,2,928.06,Austria,CERAMIC STRAWBERRY CAKE MONEY BANK,Seasonal & Gifts,999.7596
12359,2009,2,838.89,Cyprus,BLUE SCANDINAVIAN PAISLEY WRAP,Seasonal & Gifts,177.054
12359,2010,4,1724.47,Cyprus,REGENCY CAKESTAND 3 TIER,Seasonal & Gifts,1054.8128
12359,2011,4,6310.03,Cyprus,"METAL SIGN,CUPCAKE SINGLE HOOK",Home & Kitchen,3398.7637
12360,2010,3,1310.83,Austria,MINI HIGHLIGHTER PENS,Home & Kitchen,1069.0668
12360,2011,3,2302.06,Austria,MINI PAINT SET VINTAGE ,Decorations & Craft,1653.2742
12361,2010,3,276.35,Belgium,LUNCH BAG RED SPOTTY,Garden & Outdoor,225.3814
12361,2011,1,174.9,Belgium,CIRCUS PARADE LUNCH BOX ,Home & Kitchen,376.8247
12362,2011,10,4737.23,Belgium,SPACEBOY LUNCH BOX ,Home & Kitchen,1020.6433
12363,2011,2,552.0,Unspecified,60 CAKE CASES VINTAGE CHRISTMAS,Seasonal & Gifts,594.6462
12364,2011,4,1208.1,Belgium,BUBBLEGUM RING ASSORTED,Toys & Games,650.7174
12369,2010,3,1511.15,Austria,ASSORTED COLOUR BIRD ORNAMENT,Decorations & Craft,1232.4409
12370,2010,5,2278.89,Cyprus,HEART DECORATION PAINTED ZINC ,Seasonal & Gifts,1115.1495
12370,2011,2,1677.67,Cyprus,BOYS ALPHABET IRON ON PATCHES,Seasonal & Gifts,1807.2826
12371,2010,3,1819.42,Switzerland,BIG DOUGHNUT FRIDGE MAGNETS,Seasonal & Gifts,1483.8549
12371,2011,1,1527.96,Switzerland,GRAND CHOCOLATECANDLE,Home & Kitchen,3292.0128
12372,2011,3,1196.04,Denmark,PLASTERS IN TIN CIRCUS PARADE ,Home & Kitchen,858.9621
12373,2010,2,603.0500000000001,Austria,JUMBO BAG RED WHITE SPOTTY ,Garden & Outdoor,737.7395
12373,2011,1,324.6,Austria,RED RETROSPOT CHARLOTTE BAG,Garden & Outdoor,699.3556
12374,2010,2,2046.29,Austria,ROUND SNACK BOXES SET OF 4 FRUITS ,Home & Kitchen,2503.3232
12374,2011,1,622.93,Austria,72 SWEETHEART FAIRY CAKE CASES,Seasonal & Gifts,1342.1121
12375,2011,2,377.5,Finland,JUMBO BAG PEARS,Seasonal & Gifts,406.6647
12376,2010,2,383.15,Switzerland,HAND WARMER RED RETROSPOT,Garden & Outdoor,468.7255
12377,2010,3,2719.72,Switzerland,SNOWSTORM PHOTO FRAME FRIDGE MAGNET,Home & Kitchen,2218.1079
12377,2011,1,546.6,Switzerland,FOOD/DRINK SPONGE STICKERS,Stationery & Office,1177.6579
12378,2010,1,1407.7,Switzerland,MINI JIGSAW SPACEBOY,Toys & Games,3444.2118
12378,2011,1,4008.62,Switzerland,GIRLS ALPHABET IRON ON PATCHES ,Seasonal & Gifts,8636.6321
12379,2010,2,692.98,Belgium,RED TOADSTOOL LED NIGHT LIGHT,Home & Kitchen,847.7552
12379,2011,2,777.24,Belgium,POLKADOT PEN,Stationery & Office,837.2876
12380,2010,4,4782.84,Belgium,RED TOADSTOOL LED NIGHT LIGHT,Home & Kitchen,2925.537
12380,2011,4,2427.81,Belgium,ROUND SNACK BOXES SET OF4 WOODLAND ,Home & Kitchen,1307.6883
12381,2011,3,1474.81,Norway,MINI PAINT SET VINTAGE ,Decorations & Craft,1059.1667
12383,2010,1,555.72,Belgium,POPART WOODEN PENCILS ASST,Stationery & Office,1359.677
12383,2011,4,1072.84,Belgium,PACK OF 12 TRADITIONAL CRAYONS,Seasonal & Gifts,577.8625
12384,2011,2,425.27,Switzerland,BIRDCAGE DECORATION TEALIGHT HOLDER,Seasonal & Gifts,458.1253
12386,2010,1,258.9,Australia,ASSORTED BOTTLE TOP  MAGNETS ,Home & Kitchen,633.4492
12386,2011,1,143.0,Australia,PORCELAIN ROSE SMALL,Seasonal & Gifts,308.0957
12388,2010,2,1120.45,Australia,HANGING JAM JAR T-LIGHT HOLDER,Home & Kitchen,1370.6994
12388,2011,6,2780.66,Australia,STAR DECORATION PAINTED ZINC ,Seasonal & Gifts,998.4956
12389,2010,3,1433.33,Australia,SET OF 3 BABUSHKA STACKING TINS,Home & Kitchen,1168.9736
12391,2010,5,2285.18,Cyprus,WOODEN PICTURE FRAME WHITE FINISH,Home & Kitchen,1118.2274
12391,2011,1,439.66,Cyprus,PARTY TIME PENCIL ERASERS,Seasonal & Gifts,947.2541
12393,2010,2,816.85,Australia,LUNCH BAG  BLACK SKULL.,Seasonal & Gifts,999.2912
12393,2011,4,1582.6,Australia,LUNCH BAG WOODLAND,Seasonal & Gifts,852.4339
12394,2011,2,1080.48,Belgium,SET OF 12 MINI LOAF BAKING CASES,Seasonal & Gifts,1163.9552
12395,2010,5,2148.46,Belgium,PACK OF 60 PINK PAISLEY CAKE CASES,Stationery & Office,1051.325
12395,2011,10,2092.71,Belgium,CHARLOTTE BAG SUKI DESIGN,Garden & Outdoor,450.8775
12397,2011,2,2214.9,Belgium,CARAVAN SQUARE TISSUE BOX,Home & Kitchen,2386.0177
12399,2010,3,808.65,Belgium,MINI PAINT SET VINTAGE ,Decorations & Craft,659.5065
12399,2011,4,1033.65,Belgium,MINI PAINT SET VINTAGE ,Decorations & Craft,556.7536
12402,2010,5,941.3,Belgium,JUMBO BAG STRAWBERRY,Seasonal & Gifts,460.6147
12402,2011,1,195.6,Belgium,DOLLY GIRL LUNCH BOX,Home & Kitchen,421.4231
12403,2010,1,555.6600000000001,Denmark,BLUE 3 PIECE MINI DOTS CUTLERY SET,Seasonal & Gifts,1359.5302
12403,2011,1,391.7,Denmark,CHILDRENS CUTLERY POLKADOT PINK,Stationery & Office,843.9235
12406,2010,3,2975.06,Denmark,INFLATABLE POLITICAL GLOBE ,Seasonal & Gifts,2426.3544
12406,2011,2,3415.3,Denmark,LUNCH BAG SUKI DESIGN ,Garden & Outdoor,3679.1576
12407,2011,5,1507.12,Belgium,FAIRY CAKES NOTEBOOK A7 SIZE,Stationery & Office,649.4225
12408,2010,3,1287.22,Belgium,DOLLY GIRL LUNCH BOX,Home & Kitchen,1049.8113
12408,2011,5,2618.55,Belgium,DOLLY GIRL LUNCH BOX,Home & Kitchen,1128.3411
12409,2010,4,12346.62,Switzerland,CHINESE DRAGON PAPER LANTERNS,Stationery & Office,7552.1017
12409,2011,3,11072.67,Switzerland,PACK OF 72 RETROSPOT CAKE CASES,Garden & Outdoor,7952.0781
12410,2010,1,240.38,Switzerland,SET 12 RETRO WHITE CHALK STICKS,Seasonal & Gifts,588.1364
12410,2011,2,533.33,Switzerland,FRENCH BATHROOM SIGN BLUE METAL,Home & Kitchen,574.5338
12412,2010,3,1262.05,Denmark,BAG 125g SWIRLY MARBLES,Toys & Games,1029.2835
12412,2011,3,1142.88,Denmark,WORLD WAR 2 GLIDERS ASSTD DESIGNS,Garden & Outdoor,820.7841
12413,2010,1,185.35,Spain,PAPER BUNTING RETROSPOT,Home & Kitchen,453.4948
12413,2011,3,686.1,France,JUMBO BAG RED RETROSPOT,Garden & Outdoor,492.7376
12414,2010,1,90.0,Austria,BROCADE RING PURSE ,Seasonal & Gifts,220.2025
12414,2011,3,442.41,Austria,12 PENCILS SMALL TUBE RED RETROSPOT,Stationery & Office,317.7263
12415,2010,4,19468.84,Australia,60 CAKE CASES DOLLY GIRL DESIGN,Garden & Outdoor,11908.5757
12415,2011,20,124564.53,Australia,MINI PAINT SET VINTAGE ,Decorations & Craft,13418.8077
12417,2009,2,287.6,Belgium,PACK OF 72 RETRO SPOT CAKE CASES,Garden & Outdoor,60.7001
12417,2010,10,2746.05,Belgium,WRAP ENGLISH ROSE ,Seasonal & Gifts,671.8745
12417,2011,8,2964.76,Belgium,WRAP ENGLISH ROSE ,Seasonal & Gifts,798.4525
12418,2010,3,1352.62,Switzerland,WORLD WAR 2 GLIDERS ASSTD DESIGNS,Garden & Outdoor,1103.1492
12418,2011,1,668.58,Switzerland,WORLD WAR 2 GLIDERS ASSTD DESIGNS,Garden & Outdoor,1440.4657
12419,2010,2,391.01,Spain,PINK FLUFFY CHRISTMAS DECORATION,Seasonal & Gifts,478.341
12421,2010,2,235.56,Spain,CARD CHRISTMAS VILLAGE,Seasonal & Gifts,288.1717
12421,2011,4,639.04,Spain,LOVE HEART TRINKET POT,Seasonal & Gifts,344.2053
12422,2009,1,75.0,Australia,"CHARLOTTE BAG , SUKI DESIGN",Garden & Outdoor,31.6586
12422,2010,8,2880.79,Switzerland,GIRLS ALPHABET IRON ON PATCHES ,Seasonal & Gifts,881.0517
